금융회사명,상품명,가입방법,상환 방식,우대조건,가입대상,금리유형,적립유형,저축기간(개월),기본금리(%),최고우대금리(%),금융권,최저 금리(%),대출한도,만기이자
우리WON햇살론,"App, App",원금균등 분할상환(매달 일정한 원금 및 잔액대비 이자납입),정보 없음,"3개월 이상 계속 근로중인 근로자
서민금융진흥원의 보증서 발급이 가능한 고객
연소득 4,500만원 이하이면서 1개사 이상의 CSS 개인신용평점이 하위 20/100*인 고객
(단, 연소득이 3,500만원 이하인 경우 신용도와 무관하게 가능)
*(2025년기준 NICE 749점,KCB 700점이하)
3개월 이상 계속 근로중인 근로자
서민금융진흥원의 보증서 발급이 가능한 고객
연소득 4,500만원 이하이면서 1개사 이상의 CSS 개인신용평점이 하위 20/100*인 고객
(단, 연소득이 3,500만원 이하인 경우 신용도와 무관하게 가능)
*(2025년기준 NICE 749점,KCB 700점이하)","변동금리
변동금리",해당없음,해당없음,60,정보 없음,2금융권,9.47,,정보 없음,정보 없음
햇살론/온라인햇살론,정보 없음,원금균등분할상환,정보 없음,"· 연소득 3,500만원 이하인 저소득자 이거나 연소득 4,500만원 이하이면서 1개사 이상의 개인신용평가사가 산정한 개인신용평점 하위 100분의 20에 해당하는 자 (3개월 이상 근로자)
※ ‘25년 기준 NICE 749점, KCB 700점 이하
온라인햇살론 대상자 : 햇살론 직장이 대상자 중 
① 현 직장 최근 건강보험료 3개월 이상 정상 납부
② 공동인증서, 본인명의 휴대폰 보유
※ 온라인햇살론을 신청할 경우 기존 햇살론 대비 금리가 0.5%p 인하됩니다.
· 연소득 3,500만원 이하인 저소득자 이거나 연소득 4,500만원 이하이면서 1개사 이상의 개인신용평가사가 산정한 개인신용평점 하위 100분의 20에 해당하는 자 (3개월 이상 근로자)
※ ‘25년 기준 NICE 749점, KCB 700점 이하
온라인햇살론 대상자 : 햇살론 직장이 대상자 중 
① 현 직장 최근 건강보험료 3개월 이상 정상 납부
② 공동인증서, 본인명의 휴대폰 보유
※ 온라인햇살론을 신청할 경우 기존 햇살론 대비 금리가 0.5%p 인하됩니다.","변동금리
변동금리",해당없음,해당없음,60,정보 없음,2금융권,9.51,,정보 없음,정보 없음
온라인햇살론,정보 없음,• 원금균등분할상환,정보 없음,"• 3개월 이상 계속 근로중인 근로자
• 연소득 4,500만원 이하이면서 1개사 이상의 CSS개인신용평점이 하위 20/100인 고객
  (단, 연소득이 3,500만원 이하인 경우 신용도와 무관하게 가능)
• 소득증빙이 가능한 19세 이상 내국인
• 3개월 이상 계속 근로중인 근로자
• 연소득 4,500만원 이하이면서 1개사 이상의 CSS개인신용평점이 하위 20/100인 고객
  (단, 연소득이 3,500만원 이하인 경우 신용도와 무관하게 가능)
• 소득증빙이 가능한 19세 이상 내국인","• 변동금리 (3,6,12개월 단위 선택 가능) 적용 (2024년 2월 1일 기준)
• 변동금리 (3,6,12개월 단위 선택 가능) 적용 (2024년 2월 1일 기준)",해당없음,해당없음,60,정보 없음,2금융권,9.63,,정보 없음,정보 없음
햇살론,정보 없음,원금균등분할상환,"없음, 없음","- 소득증빙이 가능한 만 19세 이상의 내국인
- 3개월 이상 계속 근로중인 급여소득자
- 연 소득 4,500만원 이하 & 신용평점 하위 20%
 또는 연 소득 3,500만원 이하
- 소득증빙이 가능한 만 19세 이상의 내국인
- 3개월 이상 계속 근로중인 급여소득자
- 연 소득 4,500만원 이하 & 신용평점 하위 20%
 또는 연 소득 3,500만원 이하",정보 없음,해당없음,해당없음,60,정보 없음,2금융권,9.76,,정보 없음,정보 없음
햇살론,"온라인 및 앱, 온라인 및 앱",원금균등분할상환,"온라인햇살론 신청 시 기존 햇살론 대비 금리 0.5%p 인하, 온라인햇살론 신청 시 기존 햇살론 대비 금리 0.5%p 인하","근로소득자
* 최근 1년이내 3개월 이상 재직한 근로자로서 햇살론 자격기준 부합자 
* 연소득 3천5백만원 이하인 근로소득자(개인신용평점 무관)
* 연소득 4천5백만원 이하인 근로소득자(개인신용평점구간 하위 20%)
* 현 직장 최근 건강보험료 3개월 이상 정상납부
* 공동인증서, 본인명의 휴대폰 보유
근로소득자
* 최근 1년이내 3개월 이상 재직한 근로자로서 햇살론 자격기준 부합자 
* 연소득 3천5백만원 이하인 근로소득자(개인신용평점 무관)
* 연소득 4천5백만원 이하인 근로소득자(개인신용평점구간 하위 20%)
* 현 직장 최근 건강보험료 3개월 이상 정상납부
* 공동인증서, 본인명의 휴대폰 보유","변동금리
변동금리",해당없음,해당없음,60,0.5,2금융권,10.26,,정보 없음,정보 없음
직장인 햇살론,"모바일 WEB 신청, 모바일 WEB 신청",원금균등분할상환,"해당사항없음, 해당사항없음","연간소득 4,500만원 이하의 3개월 이상 재직중인 근로자
1개사 이상의 CSS 개인신용평점 하위 20/100
연간소득 4,500만원 이하의 3개월 이상 재직중인 근로자
1개사 이상의 CSS 개인신용평점 하위 20/100","생계자금: 변동금리(대출약정 기간 내에 기준금리가 변경될 경우 당해 대출금리가 변동되는 금리)
생계자금: 변동금리(대출약정 기간 내에 기준금리가 변경될 경우 당해 대출금리가 변동되는 금리)",해당없음,해당없음,60,정보 없음,2금융권,10.26,,정보 없음,정보 없음
근로자햇살론,"모바일,인터넷,영업점","원금균등분할 : 36개월, 60개월",정보 없음,"직장인(3개월 이상 재직/ 근로소득 연 4,500만원 이하&개인신용평점이 하위 100분의 20에 해당/ 근로소득 연 3,500만원 이하)
직장인(3개월 이상 재직/ 근로소득 연 4,500만원 이하&개인신용평점이 하위 100분의 20에 해당/ 근로소득 연 3,500만원 이하)",정보 없음,해당없음,정보 없음,10.41,정보 없음,2금융권,10.41,,정보 없음,정보 없음
KJB햇살론뱅크,정보 없음,"원리금균등분할상환
▷ 거치기간 : 대출기간 이내에서 1년 부여 가능(1년만 가능, 3개월 6개월 등 불가)
※ 대출기간 가능 CASE : 3년 분할, 1년 거치+2년 분할, 5년 분할, 1년 거치 4년 분할",정보 없음,"서민금융진흥원 보증서 발급이 가능한 고객
서민금융진흥원 보증서 발급이 가능한 고객","MOR 고정형
MOR 고정형",해당없음,해당없음,60,정보 없음,2금융권,10.42,,정보 없음,정보 없음
햇살론,영업점,"원금균등분할상환 : 36개월, 60개월",정보 없음,"소득증빙이 가능한 만 19세 이상 고객
3개월 이상 재직 또는 영업 중인 개인사업자
연 소득 3,500만원 이하
연 소득 4,500만원 이하이며 개인신용평점 하위 100분의 20에 해당되는 자
소득증빙이 가능한 만 19세 이상 고객
3개월 이상 재직 또는 영업 중인 개인사업자
연 소득 3,500만원 이하
연 소득 4,500만원 이하이며 개인신용평점 하위 100분의 20에 해당되는 자","근로자 : 생계자금 1년 변동금리
자영업자 : 1년 변동금리, 대환자금 고정금리
근로자 : 생계자금 1년 변동금리
 자영업자 : 1년 변동금리, 대환자금 고정금리",해당없음,정보 없음,10.47,정보 없음,2금융권,10.47,,정보 없음,정보 없음
햇살론(근로자),"모바일,인터넷","원금균등분할상환 : 36개월, 60개월",정보 없음,"최근 1년이내 3개월 이상 재직한 근로자로서 햇살론 자격기준 부합자(단, 현직장 1개월이상 근로 및 소득증빙 가능한 자)
연소득 3,500만원 이하인 근로소득자(개인신용평점 무관)
연소득 4,500만원 이하인 근로소득자(개인신용평점구간 하위 20%)
최근 1년이내 3개월 이상 재직한 근로자로서 햇살론 자격기준 부합자(단, 현직장 1개월이상 근로 및 소득증빙 가능한 자)
연소득 3,500만원 이하인 근로소득자(개인신용평점 무관)
연소득 4,500만원 이하인 근로소득자(개인신용평점구간 하위 20%)","변동금리
변동금리",해당없음,정보 없음,10.66,정보 없음,2금융권,10.66,,정보 없음,정보 없음
햇살론뱅크,영업점,"원리금균등분할상환
- 원리금균등분할상환 : 원금과 이자를 합해 매월 동일한 금액으로 갚아가는 방식",정보 없음,"다음의 조건을 모두 충족하는 개인사업자 고객
- 서민금융진흥원 신용보증서 발급이 가능한 고객
- 정책서민금융상품을 6개월 이상 성실하게 상환한 이용자(현재 정상이용중이거나, 최근 3년 이내 정상완제자)
 ※ 정책서민금융상품 : 새희망홀씨, 햇살론15, 햇살론17, 햇살론Youth, 안전망대출, 안전망대출 Ⅱ, 바꿔드림론, 미소금융, 근로자햇살론, 사업자햇살론
- 당행 신용등급(결합) : 6-등급 이상인 고객
재직조건
- 급여소득자 : 재직기간 3개월 이상
- 사업소득자 : 사업영위기간 3개월 이상
- 연금소득자 : 연금수령 1회 이상(공적연금)
소득조건
- 연소득 3천5백만원 이하 또는 개인신용평점 하위 20%이면서 연소득 4천5백만원 이하
다음의 조건을 모두 충족하는 개인사업자 고객
- 서민금융진흥원 신용보증서 발급이 가능한 고객
- 정책서민금융상품을 6개월 이상 성실하게 상환한 이용자(현재 정상이용중이거나, 최근 3년 이내 정상완제자)
 ※ 정책서민금융상품 : 새희망홀씨, 햇살론15, 햇살론17, 햇살론Youth, 안전망대출, 안전망대출 Ⅱ, 바꿔드림론, 미소금융, 근로자햇살론, 사업자햇살론
- 당행 신용등급(결합) : 6-등급 이상인 고객
재직조건
- 급여소득자 : 재직기간 3개월 이상
- 사업소득자 : 사업영위기간 3개월 이상
- 연금소득자 : 연금수령 1회 이상(공적연금)
소득조건
- 연소득 3천5백만원 이하 또는 개인신용평점 하위 20%이면서 연소득 4천5백만원 이하",정보 없음,해당없음,해당없음,60,정보 없음,2금융권,11.52,,정보 없음,정보 없음
부산은행,ONE신용대출-소액대출,"모바일,영업점","원금균등, 원리금균등 상환방식대출 : 1년 초과 ~ 5년 이내
※ 65세이상의 경우 대출만기는 3년으로 제한","최대 4%, 1. 신용평점에 따라 최대 연 3.50%, 2. 부산은행 내부등급에 따라 최대 연 0.50%, 최대 4%,  1. 신용평점에 따라 최대 연 3.50%,  2. 부산은행 내부등급에 따라 최대 연 0.50%","공통
급여소득자 : 3개월 이상
개인사업자 : 3개월 이상
연금소득자 : 연금 1회 이상 수령
연소득 1,200만원
KCB 625점 이상 & NICE 675점 이상
공적연금(국민연금, 공무원연금, 군인연금, 사학연금)만 가능하며, 기초연금은 불가.
단, 비대면 채널은 국민연금 限
공통
연소득 1,200만원
KCB 625점 이상 & NICE 675점 이상
 급여소득자 : 3개월 이상
 개인사업자 : 3개월 이상

연금소득자 : 연금 1회 이상 수령
공적연금(국민연금, 공무원연금, 군인연금, 사학연금)만 가능하며, 기초연금은 불가.
단, 비대면 채널은 국민연금 限","변동금리 : 신규취급액기준(COFIX)
변동금리 : 신규취급액기준(COFIX)",해당없음,정보 없음,6.9,4.0,2금융권,6.9,정보 없음,정보 없음
SC제일은행,모바일소액대출,모바일,"원리금균등분할상환 : 1년 ~ 3년 (연단위)
소득/재직 확인(국민건강보험공단) : 최대 3년
추정소득 : 최대 2년",정보 없음,"금융권 주택담보대출 또는 신용카드를 보유한 고객중 SC제일은행 신용평가시스템(은행내부신용등급 1~9등급)에 의하여 자동승인을 받은고객
NICE 신용평가정보㈜의 신용평점(CB평점)이 601점 이상인 고객(단, CB평점에 따라 대출한 도 및 적용금리가 달라질 수 있음)
소득/재직 확인(국민건강보험공단) : 만 20세 이상 (금융거래기간 1년 이상자)
추정소득(신용평가사) : 만 24세 이상
금융권 주택담보대출 또는 신용카드를 보유한 고객중 SC제일은행 신용평가시스템(은행내부신용등급 1~9등급)에 의하여 자동승인을 받은고객
 NICE 신용평가정보㈜의 신용평점(CB평점)이 601점 이상인 고객(단, CB평점에 따라 대출한 도 및 적용금리가 달라질 수 있음)
 소득/재직 확인(국민건강보험공단) : 만 20세 이상 (금융거래기간 1년 이상자)
 추정소득(신용평가사) : 만 24세 이상","변동금리
변동금리",해당없음,정보 없음,10.85,정보 없음,2금융권,10.85,정보 없음,정보 없음
iM뱅크,쓰담쓰담 간편대출,"앱 신청 및 실행, 앱 신청 및 실행",매월 원금균등분할상환,정보 없음,"직업에 관계없이 만 20세 이상인 대한민국 국민
직업에 관계없이 만 20세 이상인 대한민국 국민","금융채연동기준금리 (3개월)
금융채연동기준금리 (3개월)",해당없음,36,12.44,정보 없음,2금융권,12.44,정보 없음,정보 없음
iM뱅크,핀크비상금대출,모바일,만기일시상환 또는 통장대출 방식 : 1년(최장 10년까지 기한연장 가능),정보 없음,"대한민국 국민으로서 국내에 거주하고 있는 만 20세 이상 성인
DGBiM뱅크 대출심사 통과 고객 (자동심사)
제외대상 : 미성년자, 재외국민, 외국인, 해외체류자 등
대한민국 국민으로서 국내에 거주하고 있는 만 20세 이상 성인
 DGBiM뱅크 대출심사 통과 고객 (자동심사)
 제외대상 : 미성년자, 재외국민, 외국인, 해외체류자 등","변동금리
변동금리",해당없음,정보 없음,12.48,정보 없음,2금융권,12.48,정보 없음,정보 없음
신한카드,원스탑 대환대출,정보 없음,원리금균등상환,정보 없음,"신한 신용카드 보유회원 또는 비회원
만 19세 이상 개인(개인사업자, 외국인 제외)
신한 신용카드 보유회원 또는 비회원
만 19세 이상 개인(개인사업자, 외국인 제외)","고정금리
고정금리",해당없음,정보 없음,13.05,정보 없음,2금융권,13.05,정보 없음,정보 없음
신한카드,장기카드대출,정보 없음,거치 + 원리금균등상환,정보 없음,정보 없음,"고정금리
고정금리",해당없음,정보 없음,13.2,정보 없음,2금융권,13.2,정보 없음,정보 없음
신한카드,가계신용대출,정보 없음,원리금균등상환 / 거치 + 원리금균등상환(일부 고객에 한함),정보 없음,정보 없음,"고정금리
고정금리",해당없음,36,14.08,정보 없음,2금융권,14.08,정보 없음,정보 없음
스마트저축은행,비상금대출,"APP을 통한 대출신청 및 전자약정, APP을 통한 대출신청 및 전자약정",만기일시상환,"없음, 없음","ㆍ만19세 이상 내국인 (단, 만 남31세, 여29세 이하는 소득증빙 필수)
ㆍNICE 신용평점 601점 이상인 내부 심사 기준 통과자
ㆍ만19세 이상 내국인 (단, 만 남31세, 여29세 이하는 소득증빙 필수)
ㆍNICE 신용평점 601점 이상인 내부 심사 기준 통과자","고정 금리
고정 금리",해당없음,60,14.35,정보 없음,2금융권,14.35,정보 없음,정보 없음
다올저축은행,Fi 비상금 자동대출,"모바일 앱, 모바일 앱","만기일시상환, 원리금균등분할상환",정보 없음,"만32세 이상 소득 있는 모든 고객(신용점수(NICE기준) 560점 이상인 자)
만32세 이상 소득 있는 모든 고객(신용점수(NICE기준) 560점 이상인 자)","고정금리
고정금리",해당없음,60,17.0,정보 없음,2금융권,17.0,정보 없음,정보 없음
스마트저축은행,Smart-I 비상금 자동대출,"스마트폰, 스마트폰",만기일시상환,정보 없음,"만 19세 이상(단, 만 남31세, 여29세 이하는 소득증빙 필수)
(NICE신용평점 601점 이상인 내부 심사 기준 통과자)
만 19세 이상(단, 만 남31세, 여29세 이하는 소득증빙 필수)
(NICE신용평점 601점 이상인 내부 심사 기준 통과자)",정보 없음,해당없음,60,18.03,정보 없음,2금융권,18.03,정보 없음,정보 없음
다올저축은행,Fi비상금,"모바일,인터넷,영업점","원리금균등분할, 만기일시상환 : 최장 60개월",정보 없음,"만 32세 이상 소득있는 모든 고객
신용점수[NICE기준] 560점 이상
만 32세 이상 소득있는 모든 고객
 신용점수[NICE기준] 560점 이상","고정금리
고정금리",해당없음,정보 없음,18.19,정보 없음,2금융권,18.19,정보 없음,정보 없음
OK저축은행,비상금OK론,"모바일,인터넷","원리금균등, 원금균등, 만기일시상환",정보 없음,"추정소득 확인이 가능한 만 29세이상(군필자 만31세이상) 직장인 / 신용점수[NICE]351점 이상
금융소비자의 자격요건으로 연체대출금 보유자, 불건전 대출이 있는자 등은 대출 취급이 제한될 수 있습니다.
추정소득 확인이 가능한 만 29세이상(군필자 만31세이상) 직장인 / 신용점수[NICE]351점 이상
금융소비자의 자격요건으로 연체대출금 보유자, 불건전 대출이 있는자 등은 대출 취급이 제한될 수 있습니다.",정보 없음,해당없음,정보 없음,18.2,정보 없음,2금융권,18.2,정보 없음,정보 없음
KB저축은행,kiwi여성비상금대출,"모바일,인터넷",마이너스상환/만기일시상환,정보 없음,"직업/소득에 관계없이 당사 개인신용평가 심사기준을 충족한 여성고객
KCB 개인신용평점 475점 이상인 고객
직업/소득에 관계없이 당사 개인신용평가 심사기준을 충족한 여성고객
KCB 개인신용평점 475점 이상인 고객",정보 없음,해당없음,60,18.87,정보 없음,2금융권,18.87,정보 없음,정보 없음
KB저축은행,kiwi비상금대출,"모바일,인터넷",마이너스상환/만기일시상환 : 1년 (최장 5년까지 연장가능),정보 없음,"직업/소득에 관계없이 kb저축은행 개인신용평가 심사기준 충족고객
KCB 개인신용평점 475점 이상인 고객
직업/소득에 관계없이 kb저축은행 개인신용평가 심사기준 충족고객
 KCB 개인신용평점 475점 이상인 고객",정보 없음,해당없음,정보 없음,19.17,정보 없음,2금융권,19.17,정보 없음,정보 없음
SBI저축은행,SBI스피드대출(추가),정보 없음,원리금균등분할상환,"없음, 없음","만 20세 이상 내국인
CB사 소득에 의해 대출한도가 산정되는 고객
신용점수[NICE 기준] 450점 이상
만 20세 이상 내국인
CB사 소득에 의해 대출한도가 산정되는 고객
신용점수[NICE 기준] 450점 이상","고정금리
고정금리",해당없음,36,19.9,정보 없음,2금융권,19.9,정보 없음,정보 없음
